cik,trans_date,trans_code,acquired_disposed,shares,price_per_share,value
1652044,2016-03-14,S,D,2500.0,744.97,-1862425.0
21344,2016-03-09,S,D,35438.0,44.5,-1576991.0
72971,2016-03-10,S,D,10000.0,48.16,-481599.99999999994
1652044,2016-03-04,S,D,558.0,713.86,-398333.88
1652044,2016-03-04,S,D,1884.0,726.45,-1368631.8
1652044,2016-03-04,S,D,2200.0,727.46,-1600412.0
1652044,2016-03-04,S,D,1710.0,728.36,-1245495.6
1652044,2016-03-04,S,D,4458.0,729.59,-3252512.22
1652044,2016-03-04,S,D,3799.0,730.52,-2775245.48
1652044,2016-03-04,S,D,902.0,731.5,-659813.0
1652044,2016-03-04,S,D,604.0,732.78,-442599.12
1652044,2016-03-04,S,D,913.0,733.92,-670068.96
1652044,2016-03-04,S,D,200.0,734.56,-146912.0
1652044,2016-03-04,S,D,1100.0,706.81,-777490.9999999999
1652044,2016-03-04,S,D,2910.0,707.76,-2059581.5999999999
1652044,2016-03-04,S,D,1799.0,708.97,-1275437.03
1652044,2016-03-04,S,D,4005.0,709.78,-2842668.9
1652044,2016-03-04,S,D,3310.0,710.89,-2353045.9
1652044,2016-03-04,S,D,1557.0,711.56,-1107898.92
1652044,2016-03-04,S,D,600.0,712.92,-427752.0
1652044,2016-03-04,S,D,700.0,714.87,-500409.0
1652044,2016-03-04,S,D,131.0,715.57,-93739.67000000001
731766,2016-03-07,S,D,4113.0,121.51,-499770.63
21344,2016-03-04,S,D,308090.0,43.99,-13552879.100000001
21344,2016-03-04,S,D,130200.0,44.03,-5732706.0
1652044,2016-03-03,S,D,3450.0,731.34,-2523123.0
1652044,2016-03-03,S,D,3862.0,730.43,-2820920.6599999997
1652044,2016-03-03,S,D,100.0,719.5,-71950.0
1652044,2016-03-03,S,D,721.0,718.19,-517814.99000000005
1652044,2016-03-03,S,D,400.0,715.77,-286308.0
1652044,2016-03-03,S,D,1162.0,714.43,-830167.6599999999
1652044,2016-03-03,S,D,4795.0,712.28,-3415382.6
1652044,2016-03-03,S,D,5891.0,711.36,-4190621.7600000002
1652044,2016-03-03,S,D,1960.0,710.61,-1392795.6
1652044,2016-03-03,S,D,300.0,740.42,-222126.0
1652044,2016-03-03,S,D,500.0,739.33,-369665.0
1652044,2016-03-03,S,D,200.0,737.91,-147582.0
1652044,2016-03-03,S,D,600.0,736.79,-442074.0
1652044,2016-03-03,S,D,1178.0,735.86,-866843.08
1652044,2016-03-03,S,D,900.0,734.39,-660951.0
1652044,2016-03-03,S,D,449.0,733.18,-329197.81999999995
1652044,2016-03-03,S,D,5227.0,732.41,-3828307.07
1652044,2016-03-03,S,D,1637.0,713.34,-1167737.58
1403161,2016-03-03,S,D,18736.0,73.87,-1384028.32
27419,2016-03-04,S,D,51082.0,80.02,-4087581.6399999997
1065088,2016-02-01,P,A,4180.0,23.94,100069.20000000001
1652044,2016-03-02,S,D,1154.0,734.25,-847324.5
1652044,2016-03-02,S,D,100.0,742.22,-74222.0
1652044,2016-03-02,S,D,500.0,741.71,-370855.0
1652044,2016-03-02,S,D,1036.0,740.14,-766785.04
1652044,2016-03-02,S,D,1439.0,739.4,-1063996.5999999999
1652044,2016-03-02,S,D,3530.0,738.48,-2606834.4
1652044,2016-03-02,S,D,4062.0,737.42,-2995400.04
1652044,2016-03-02,S,D,500.0,713.12,-356560.0
1652044,2016-03-02,S,D,1557.0,713.83,-1111433.31
1652044,2016-03-02,S,D,2855.0,715.2,-2041896.0000000002
1652044,2016-03-02,S,D,4463.0,716.1,-3195954.3000000003
1652044,2016-03-02,S,D,3606.0,717.11,-2585898.66
1652044,2016-03-02,S,D,2986.0,718.04,-2144067.44
1652044,2016-03-02,S,D,500.0,718.77,-359385.0
1652044,2016-03-02,S,D,199.0,719.82,-143244.18000000002
1652044,2016-03-02,S,D,1646.0,735.32,-1210336.72
1652044,2016-03-02,S,D,3199.0,736.5,-2356063.5
21344,2016-03-02,S,D,320000.0,43.68,-13977600.0
21344,2016-03-03,S,D,320000.0,43.76,-14003200.0
1018724,2016-03-03,S,D,6250.0,577.94,-3612125.0000000005
104169,2016-03-01,S,D,3000.0,66.39,-199170.0
1045810,2016-03-01,S,D,40000.0,31.84,-1273600.0
1045810,2016-03-01,S,D,750.0,32.49,-24367.5
1652044,2016-03-02,S,D,375.0,742.87,-278576.25
1652044,2016-03-02,S,D,3625.0,719.0,-2606375.0
1652044,2016-03-01,S,D,613.0,710.92,-435793.95999999996
1652044,2016-03-01,S,D,1960.0,712.21,-1395931.6
1652044,2016-03-01,S,D,1308.0,713.06,-932682.48
1652044,2016-03-01,S,D,1400.0,714.21,-999894.0
1652044,2016-03-01,S,D,1536.0,714.97,-1098193.92
1652044,2016-03-01,S,D,2300.0,716.2,-1647260.0
1652044,2016-03-01,S,D,2451.0,717.15,-1757734.65
1652044,2016-03-01,S,D,700.0,718.25,-502775.0
1652044,2016-03-01,S,D,500.0,700.67,-350335.0
1652044,2016-03-01,S,D,739.0,701.9,-518704.1
1652044,2016-03-01,S,D,902.0,703.0,-634106.0
1652044,2016-03-01,S,D,522.0,704.03,-367503.66
1652044,2016-03-01,S,D,400.0,705.58,-282232.0
1652044,2016-03-01,S,D,480.0,706.5,-339120.0
1652044,2016-03-01,S,D,700.0,707.97,-495579.0
1652044,2016-03-01,S,D,155.0,709.36,-109950.8
1652044,2016-03-01,S,D,1012.0,722.21,-730876.52
1652044,2016-03-01,S,D,300.0,723.23,-216969.0
1652044,2016-03-01,S,D,200.0,724.67,-144934.0
1652044,2016-03-01,S,D,400.0,725.85,-290340.0
1652044,2016-03-01,S,D,300.0,727.06,-218117.99999999997
1652044,2016-03-01,S,D,598.0,728.55,-435672.89999999997
1652044,2016-03-01,S,D,200.0,729.65,-145930.0
1652044,2016-03-01,S,D,200.0,730.74,-146148.0
1652044,2016-03-01,S,D,336.0,732.07,-245975.52000000002
1652044,2016-03-01,S,D,1637.0,733.67,-1201017.79
1652044,2016-03-01,S,D,1433.0,734.54,-1052595.8199999998
1652044,2016-03-01,S,D,1098.0,735.6,-807688.8
1652044,2016-03-01,S,D,1517.0,736.58,-1117391.86
1652044,2016-03-01,S,D,906.0,737.5,-668175.0
1652044,2016-03-01,S,D,1452.0,738.68,-1072563.3599999999
1652044,2016-03-01,S,D,1517.0,739.65,-1122049.05
1652044,2016-03-01,S,D,1315.0,740.55,-973823.2499999999
1652044,2016-03-01,S,D,919.0,741.64,-681567.16
