date,Sigma-6,Delta-12,IPSA Total Return,Gamma-6,Conjunto AlphaData,Oro
2023-03-16,129.13350377514553,129.66760284111038,124.12013867665036,103.2488226308134,121.026468343552,116.13625753207607
2023-03-17,125.6084247000947,127.15147747576411,122.0590903881418,102.96962049657341,120.60023925435618,120.20478893826755
2023-03-20,126.6097336887489,127.78144363215493,123.44537935513448,101.80005238894093,119.77768867747511,116.88777291313893
2023-03-21,129.76662394503208,131.28650264121498,126.527401054401,106.8793395855455,123.09953983008957,118.09971107558529
2023-03-22,129.6016264556553,131.55486967693992,125.85908847799512,104.72437243434891,122.92177621416175,119.60504453020762
2023-03-23,129.77727171315072,132.09254602761177,125.9591324113692,103.51115936902076,122.69008733750381,119.37135405195976
2023-03-24,129.24891850349658,132.2063058496164,125.32615754889976,102.97312947569219,121.94156670782715,117.48312726358643
2023-03-27,130.03420543558454,131.8745428758865,125.54630195599022,103.83295530737529,122.20253786193176,117.16569785928756
2023-03-28,129.88832134800649,130.3172913730381,125.22802376222496,103.1390777478701,121.6194580663798,117.23335863236935
2023-03-29,130.46957229169703,131.18915984327637,126.8757640586797,103.89189057502132,121.71911435027825,115.51637207395474
2023-03-30,132.2475529276565,131.903419147712,126.7668856968215,103.9600276143983,122.35100997245884,115.611170937893
2023-03-31,133.98286906972334,134.11675237764655,127.13506647310513,105.09307991573914,123.33308021039319,114.5889805762743
2023-04-03,133.67184341360283,132.83786031836107,126.76211033007336,107.49601911044526,124.12286293530495,116.26275975056723
2023-04-04,131.4901294764971,131.1196710612665,124.82808679706604,108.42235904620102,124.71457701404164,120.78569793181161
2023-04-05,132.2428847095884,131.38336755818483,125.02435437041568,108.5484843133191,124.83976705585683,120.24433729717221
2023-04-06,133.22176144412452,132.5912839585159,125.93119651589242,108.67176225482372,125.31569885867957,120.00945090054505
2023-04-10,133.43766150977416,132.85827708969768,126.10501986552566,110.12082196660495,125.88410714867071,120.12912804150506
2023-04-11,133.97776888106625,132.03070123674576,126.7114914425428,110.75999222425929,126.22057104322286,120.92779216575272
2023-04-12,134.9861587310087,132.08867357010212,127.8148399297066,108.83629987101378,125.67660650648173,120.09175226247177
2023-04-13,136.13020124976148,133.7567925453844,128.1020782396088,109.63584634011063,126.68954132539102,120.58075947504818
2023-04-14,136.68115703925744,134.31194617477624,129.34510620415648,109.03889425118092,125.8786375887219,117.27247487308352
2023-04-17,136.39681166184357,135.36507274063032,130.60484795232273,109.1086466811526,126.06807444079591,117.24384251402797
2023-04-18,137.17321766757854,134.42250772285882,130.71659153422982,110.75078008423073,126.762419209186,118.17510146904418
2023-04-19,137.09785366267008,135.05572360912902,129.49576902506112,109.4238864318577,126.11102487377056,116.72448009665372
2023-04-20,137.0145722789202,135.56213942783987,128.8773590311736,108.27797198946644,126.01211163167282,117.2448803393626
2023-04-21,134.98783565230582,134.19858779501126,124.80253858496332,107.78121818008242,124.68743060533832,115.76184874190292
2023-04-24,137.1206134093859,135.6081386352143,126.47033542176038,109.29023902505556,126.43771863417828,117.59288330691926
2023-04-25,137.97528951189815,135.84440071689227,126.53719055623472,108.81670211424873,127.16055040606223,119.86272042739061
2023-04-26,139.1642806254074,136.6457635815503,127.15822700183377,108.50904398986728,127.28041524354958,118.94207612863887
2023-04-27,140.92414448074973,137.35349193335227,129.1789234413203,108.79174461881207,127.64585128481463,117.88213413490793
2023-04-28,141.61804465354749,137.3433515611862,129.31908045537898,109.97616156329123,128.09890327065204,117.68962744028951
2023-05-02,141.1481379339421,136.3191125795562,128.20283847799513,110.07349417852348,128.37264661819162,119.85964473252463
2023-05-03,142.03455890292997,135.84188742826854,128.2801994193154,108.16961667811776,128.28635051548412,121.25220811604565
2023-05-04,142.13947120336093,137.26779947147367,128.3718864608802,107.25722071632981,128.42888085323813,121.44333981269912
2023-05-05,143.70856420051962,138.9612932698167,130.85507716992666,108.89333785254355,128.89236195351154,118.64061619462579
2023-05-08,146.80558080423864,142.60844786809594,133.91298326711492,108.51459807937206,130.17982542667696,118.07831775701163
2023-05-09,144.72652462330316,139.15840394127514,132.53767764364304,108.01682707209062,129.08772886741846,119.28170362107166
2023-05-10,144.67918916134948,140.80438450092248,132.98465197127138,108.03117389060749,129.19506095078015,118.28968719876632
