date,Sigma-6,Delta-12,Gamma-6,Conjunto AlphaData,Oro,Mercado chileno (canasta igual peso)
2021-09-14,99.46841396564291,98.92280624962527,103.71925573551317,102.22328028817061,104.82081512265854,98.63036744308276
2021-09-15,99.37727680086107,99.36782569840156,104.40697532746556,102.44792020912932,104.00774171920028,98.79697047533185
2021-09-16,99.52157725292597,99.02576824360824,103.54252957567066,101.23802697014082,100.92217069768766,98.47931514399657
2021-09-20,98.93404451478,95.22619900582025,100.88851446645319,99.1407134093113,102.33970859937696,95.60284030532654
2021-09-21,98.95850015729532,95.71575250215999,101.74908942239713,99.94923239304055,103.56947009723696,95.69002801789946
2021-09-22,99.3884457222253,97.65745129531196,102.7809713284091,100.8796113603775,102.75448039889733,97.45354980786477
2021-09-23,99.45187492591748,98.06207315425544,104.01542499614882,101.25316051953578,101.79455748935622,98.01774749723401
2021-09-24,98.72916719518581,97.70653814169519,102.47011675139593,100.46263842112945,101.44772369641035,97.74693525161385
2021-09-27,98.79661794998627,97.9527953869677,102.1360338944226,100.72534598922775,102.62494823868529,97.42036601493376
2021-09-28,98.37932648523794,97.89368955571568,98.8348816907504,99.25367352692729,101.66364710350172,96.48349273307795
2021-09-29,98.25836778090397,98.53328138514203,99.6995550060584,100.00864085601852,102.4338776836848,96.28077227314694
2021-09-30,98.99893556645026,99.03826213454828,99.8510319940368,100.92447674633428,105.13206133798688,96.28467502736238
2021-10-01,98.74352176391476,97.65310485988005,101.27863064986381,101.02260440960019,105.49185984913939,95.4828224858824
