date,cdv,subyacente,cdv_clp,volumen
2025-06-03,AAPLCL.SN,AAPL,186124.0,31
2025-06-04,AAPLCL.SN,AAPL,186124.0,40
2025-06-05,AAPLCL.SN,AAPL,186124.0,40
2025-06-06,AAPLCL.SN,AAPL,190693.0,47
2025-06-09,AAPLCL.SN,AAPL,191000.0,81
2025-06-10,AAPLCL.SN,AAPL,191000.0,31
2025-06-11,AAPLCL.SN,AAPL,191000.0,7
2025-06-12,AAPLCL.SN,AAPL,191000.0,13
2025-06-13,AAPLCL.SN,AAPL,191000.0,6
2025-06-16,AAPLCL.SN,AAPL,191000.0,13
2025-06-17,AAPLCL.SN,AAPL,191000.0,1
2025-06-18,AAPLCL.SN,AAPL,191000.0,40
2025-06-19,AAPLCL.SN,AAPL,191000.0,0
2025-06-23,AAPLCL.SN,AAPL,191000.0,13
2025-06-24,AAPLCL.SN,AAPL,191000.0,0
2025-06-25,AAPLCL.SN,AAPL,191000.0,26
2025-06-26,AAPLCL.SN,AAPL,191000.0,0
2025-06-27,AAPLCL.SN,AAPL,191000.0,1
2025-06-30,AAPLCL.SN,AAPL,191000.0,2
2025-07-01,AAPLCL.SN,AAPL,191000.0,13
2025-07-02,AAPLCL.SN,AAPL,191000.0,14
2025-07-03,AAPLCL.SN,AAPL,191000.0,28
2025-07-04,AAPLCL.SN,AAPL,191000.0,0
2025-07-07,AAPLCL.SN,AAPL,191000.0,27
2025-07-08,AAPLCL.SN,AAPL,191000.0,3
2025-07-09,AAPLCL.SN,AAPL,191000.0,4
2025-07-10,AAPLCL.SN,AAPL,200047.0,66
2025-07-11,AAPLCL.SN,AAPL,201045.0,41
2025-07-14,AAPLCL.SN,AAPL,201045.0,3
2025-07-15,AAPLCL.SN,AAPL,203214.0,44
2025-07-17,AAPLCL.SN,AAPL,203214.0,13
2025-07-18,AAPLCL.SN,AAPL,203214.0,0
2025-07-21,AAPLCL.SN,AAPL,204565.0,41
2025-07-22,AAPLCL.SN,AAPL,204565.0,0
2025-07-23,AAPLCL.SN,AAPL,204565.0,7
2025-07-24,AAPLCL.SN,AAPL,204565.0,0
2025-07-25,AAPLCL.SN,AAPL,204565.0,5
2025-07-28,AAPLCL.SN,AAPL,204565.0,2
2025-07-29,AAPLCL.SN,AAPL,204565.0,6
2025-07-30,AAPLCL.SN,AAPL,204565.0,4
2025-07-31,AAPLCL.SN,AAPL,204565.0,6
2025-08-01,AAPLCL.SN,AAPL,204565.0,4
2025-08-04,AAPLCL.SN,AAPL,204565.0,22
2025-08-05,AAPLCL.SN,AAPL,204565.0,1
2025-08-06,AAPLCL.SN,AAPL,210180.0,56
2025-08-07,AAPLCL.SN,AAPL,213373.0,37
2025-08-08,AAPLCL.SN,AAPL,213373.0,32
2025-08-11,AAPLCL.SN,AAPL,213373.0,26
2025-08-12,AAPLCL.SN,AAPL,213373.0,0
2025-08-13,AAPLCL.SN,AAPL,213373.0,2
2025-08-14,AAPLCL.SN,AAPL,213373.0,3
2025-08-18,AAPLCL.SN,AAPL,213373.0,0
2025-08-19,AAPLCL.SN,AAPL,213373.0,16
2025-08-20,AAPLCL.SN,AAPL,213373.0,1
2025-08-21,AAPLCL.SN,AAPL,213373.0,0
2025-08-22,AAPLCL.SN,AAPL,213373.0,0
2025-08-25,AAPLCL.SN,AAPL,213373.0,0
2025-08-26,AAPLCL.SN,AAPL,213373.0,0
2025-08-27,AAPLCL.SN,AAPL,213373.0,0
2025-08-28,AAPLCL.SN,AAPL,213373.0,14
2025-08-29,AAPLCL.SN,AAPL,213373.0,0
2025-09-01,AAPLCL.SN,AAPL,213373.0,0
2025-09-02,AAPLCL.SN,AAPL,213373.0,0
2025-09-03,AAPLCL.SN,AAPL,213373.0,21
2025-09-04,AAPLCL.SN,AAPL,213373.0,6
2025-09-05,AAPLCL.SN,AAPL,213373.0,10
2025-09-08,AAPLCL.SN,AAPL,232233.0,53
2025-09-09,AAPLCL.SN,AAPL,232233.0,1
2025-09-10,AAPLCL.SN,AAPL,220955.0,130
2025-09-11,AAPLCL.SN,AAPL,220955.0,0
2025-09-12,AAPLCL.SN,AAPL,220955.0,0
2025-09-15,AAPLCL.SN,AAPL,220955.0,0
2025-09-16,AAPLCL.SN,AAPL,220955.0,1
2025-09-17,AAPLCL.SN,AAPL,220955.0,0
2025-09-22,AAPLCL.SN,AAPL,243480.0,43
2025-09-23,AAPLCL.SN,AAPL,243480.0,0
2025-09-24,AAPLCL.SN,AAPL,243480.0,8
2025-09-25,AAPLCL.SN,AAPL,243480.0,11
2025-09-26,AAPLCL.SN,AAPL,243480.0,3
2025-09-29,AAPLCL.SN,AAPL,243480.0,2
2025-09-30,AAPLCL.SN,AAPL,243480.0,0
2025-10-01,AAPLCL.SN,AAPL,243480.0,6
2025-10-02,AAPLCL.SN,AAPL,247764.0,172
2025-10-03,AAPLCL.SN,AAPL,247764.0,0
2025-10-06,AAPLCL.SN,AAPL,247764.0,5
2025-10-07,AAPLCL.SN,AAPL,247764.0,0
2025-10-08,AAPLCL.SN,AAPL,247764.0,0
2025-10-09,AAPLCL.SN,AAPL,247764.0,0
2025-10-10,AAPLCL.SN,AAPL,247764.0,0
2025-10-13,AAPLCL.SN,AAPL,247764.0,3
2025-10-14,AAPLCL.SN,AAPL,247764.0,5
2025-10-15,AAPLCL.SN,AAPL,247764.0,0
2025-10-16,AAPLCL.SN,AAPL,247764.0,0
2025-10-17,AAPLCL.SN,AAPL,247764.0,0
2025-10-20,AAPLCL.SN,AAPL,247764.0,0
2025-10-21,AAPLCL.SN,AAPL,247764.0,10
2025-10-22,AAPLCL.SN,AAPL,247764.0,15
2025-10-23,AAPLCL.SN,AAPL,247764.0,0
2025-10-24,AAPLCL.SN,AAPL,247764.0,0
2025-10-27,AAPLCL.SN,AAPL,247764.0,0
2025-10-28,AAPLCL.SN,AAPL,247764.0,4
2025-10-29,AAPLCL.SN,AAPL,247764.0,0
2025-10-30,AAPLCL.SN,AAPL,255400.0,38
2025-11-03,AAPLCL.SN,AAPL,255400.0,2
2025-11-04,AAPLCL.SN,AAPL,255881.0,32
2025-11-05,AAPLCL.SN,AAPL,255881.0,0
2025-11-06,AAPLCL.SN,AAPL,255881.0,18
2025-11-07,AAPLCL.SN,AAPL,255881.0,6
2025-11-10,AAPLCL.SN,AAPL,255881.0,2
2025-11-11,AAPLCL.SN,AAPL,255881.0,0
2025-11-12,AAPLCL.SN,AAPL,255881.0,25
2025-11-13,AAPLCL.SN,AAPL,255881.0,4
2025-11-14,AAPLCL.SN,AAPL,255881.0,11
2025-11-17,AAPLCL.SN,AAPL,255881.0,0
2025-11-18,AAPLCL.SN,AAPL,248944.0,45
2025-11-19,AAPLCL.SN,AAPL,248944.0,0
2025-11-20,AAPLCL.SN,AAPL,248944.0,1
2025-11-21,AAPLCL.SN,AAPL,248944.0,0
2025-11-24,AAPLCL.SN,AAPL,248944.0,9
2025-11-25,AAPLCL.SN,AAPL,262576.0,34
2025-11-26,AAPLCL.SN,AAPL,262576.0,0
2025-11-27,AAPLCL.SN,AAPL,262576.0,0
2025-11-28,AAPLCL.SN,AAPL,262576.0,0
2025-12-01,AAPLCL.SN,AAPL,259250.0,38
2025-12-02,AAPLCL.SN,AAPL,259250.0,19
2025-12-03,AAPLCL.SN,AAPL,259250.0,0
2025-12-04,AAPLCL.SN,AAPL,259250.0,0
2025-12-05,AAPLCL.SN,AAPL,259250.0,5
2025-12-09,AAPLCL.SN,AAPL,259250.0,0
2025-12-10,AAPLCL.SN,AAPL,259250.0,0
2025-12-11,AAPLCL.SN,AAPL,259250.0,0
2025-12-12,AAPLCL.SN,AAPL,259250.0,1
2025-12-15,AAPLCL.SN,AAPL,259250.0,0
2025-12-16,AAPLCL.SN,AAPL,259250.0,0
2025-12-17,AAPLCL.SN,AAPL,259250.0,19
2025-12-18,AAPLCL.SN,AAPL,259250.0,0
2025-12-19,AAPLCL.SN,AAPL,259250.0,0
2025-12-22,AAPLCL.SN,AAPL,259250.0,0
2025-12-23,AAPLCL.SN,AAPL,259250.0,0
2025-12-24,AAPLCL.SN,AAPL,259250.0,0
2025-12-26,AAPLCL.SN,AAPL,259250.0,0
2025-12-29,AAPLCL.SN,AAPL,259250.0,0
2025-12-30,AAPLCL.SN,AAPL,259250.0,0
2026-01-02,AAPLCL.SN,AAPL,259250.0,0
2026-01-05,AAPLCL.SN,AAPL,259250.0,0
2026-01-06,AAPLCL.SN,AAPL,259250.0,13
2026-01-07,AAPLCL.SN,AAPL,259250.0,13
2026-01-08,AAPLCL.SN,AAPL,259250.0,0
2026-01-09,AAPLCL.SN,AAPL,259250.0,0
2026-01-12,AAPLCL.SN,AAPL,231711.0,38
2026-01-13,AAPLCL.SN,AAPL,230000.0,73
2026-01-14,AAPLCL.SN,AAPL,230000.0,5
2026-01-15,AAPLCL.SN,AAPL,230000.0,0
2026-01-16,AAPLCL.SN,AAPL,230000.0,0
2026-01-19,AAPLCL.SN,AAPL,230000.0,0
2026-01-20,AAPLCL.SN,AAPL,230000.0,0
2026-01-21,AAPLCL.SN,AAPL,221000.0,44
2026-01-22,AAPLCL.SN,AAPL,221000.0,10
2026-01-23,AAPLCL.SN,AAPL,221000.0,0
2026-01-26,AAPLCL.SN,AAPL,221000.0,0
2026-01-27,AAPLCL.SN,AAPL,221000.0,8
2026-01-28,AAPLCL.SN,AAPL,221000.0,3
2026-01-29,AAPLCL.SN,AAPL,221000.0,0
2026-01-30,AAPLCL.SN,AAPL,221000.0,0
2026-02-02,AAPLCL.SN,AAPL,221000.0,6
2026-02-03,AAPLCL.SN,AAPL,221000.0,0
2026-02-04,AAPLCL.SN,AAPL,221000.0,30
2026-02-05,AAPLCL.SN,AAPL,221000.0,3
2026-02-06,AAPLCL.SN,AAPL,221000.0,0
2026-02-09,AAPLCL.SN,AAPL,221000.0,0
2026-02-10,AAPLCL.SN,AAPL,221000.0,0
2026-02-11,AAPLCL.SN,AAPL,221000.0,0
2026-02-12,AAPLCL.SN,AAPL,221000.0,0
2026-02-13,AAPLCL.SN,AAPL,221000.0,0
2026-02-16,AAPLCL.SN,AAPL,221000.0,0
2026-02-17,AAPLCL.SN,AAPL,221000.0,0
2026-02-18,AAPLCL.SN,AAPL,221000.0,3
2026-02-19,AAPLCL.SN,AAPL,221000.0,0
2026-02-20,AAPLCL.SN,AAPL,221000.0,2
2026-02-23,AAPLCL.SN,AAPL,221000.0,26
2026-02-24,AAPLCL.SN,AAPL,221000.0,0
2026-02-25,AAPLCL.SN,AAPL,221000.0,1
2026-02-26,AAPLCL.SN,AAPL,221000.0,0
2026-02-27,AAPLCL.SN,AAPL,245000.0,42
2026-03-02,AAPLCL.SN,AAPL,245000.0,0
2026-03-03,AAPLCL.SN,AAPL,245000.0,0
2026-03-04,AAPLCL.SN,AAPL,236800.0,45
2026-03-05,AAPLCL.SN,AAPL,236800.0,9
2026-03-06,AAPLCL.SN,AAPL,236800.0,3
2026-03-09,AAPLCL.SN,AAPL,236800.0,0
2026-03-10,AAPLCL.SN,AAPL,236800.0,0
2026-03-11,AAPLCL.SN,AAPL,236800.0,0
2026-03-12,AAPLCL.SN,AAPL,236800.0,0
2026-03-13,AAPLCL.SN,AAPL,236800.0,3
2026-03-16,AAPLCL.SN,AAPL,236800.0,0
2026-03-17,AAPLCL.SN,AAPL,236800.0,0
2026-03-18,AAPLCL.SN,AAPL,236800.0,0
2026-03-19,AAPLCL.SN,AAPL,236800.0,0
2026-03-20,AAPLCL.SN,AAPL,236800.0,0
2026-03-23,AAPLCL.SN,AAPL,236800.0,1
2026-03-24,AAPLCL.SN,AAPL,236800.0,0
2026-03-25,AAPLCL.SN,AAPL,236800.0,1
2026-03-26,AAPLCL.SN,AAPL,236800.0,0
2026-03-27,AAPLCL.SN,AAPL,236800.0,8
2026-03-30,AAPLCL.SN,AAPL,236800.0,0
2026-03-31,AAPLCL.SN,AAPL,236800.0,5
2026-04-01,AAPLCL.SN,AAPL,236800.0,3
2026-04-02,AAPLCL.SN,AAPL,236800.0,2
2026-04-06,AAPLCL.SN,AAPL,236800.0,2
2026-04-07,AAPLCL.SN,AAPL,236800.0,0
2026-04-08,AAPLCL.SN,AAPL,236800.0,0
2026-04-09,AAPLCL.SN,AAPL,236800.0,0
2026-04-10,AAPLCL.SN,AAPL,236800.0,9
2026-04-13,AAPLCL.SN,AAPL,236800.0,7
2026-04-14,AAPLCL.SN,AAPL,236800.0,0
2026-04-15,AAPLCL.SN,AAPL,236800.0,3
2026-04-16,AAPLCL.SN,AAPL,236800.0,0
2026-04-17,AAPLCL.SN,AAPL,236800.0,0
2026-04-20,AAPLCL.SN,AAPL,236800.0,5
2026-04-21,AAPLCL.SN,AAPL,236800.0,0
2026-04-22,AAPLCL.SN,AAPL,236800.0,4
2026-04-23,AAPLCL.SN,AAPL,236800.0,3
2026-04-24,AAPLCL.SN,AAPL,236800.0,3
2026-04-27,AAPLCL.SN,AAPL,236800.0,0
2026-04-28,AAPLCL.SN,AAPL,236800.0,2
2026-04-29,AAPLCL.SN,AAPL,236800.0,1
2026-04-30,AAPLCL.SN,AAPL,236800.0,0
2026-05-04,AAPLCL.SN,AAPL,252300.0,82
2026-05-05,AAPLCL.SN,AAPL,252300.0,6
2026-05-06,AAPLCL.SN,AAPL,252300.0,29
2026-05-07,AAPLCL.SN,AAPL,252300.0,6
2026-05-08,AAPLCL.SN,AAPL,252300.0,24
2026-05-11,AAPLCL.SN,AAPL,252300.0,0
2026-05-12,AAPLCL.SN,AAPL,252300.0,0
2026-05-13,AAPLCL.SN,AAPL,252300.0,0
2026-05-14,AAPLCL.SN,AAPL,252300.0,6
2026-05-15,AAPLCL.SN,AAPL,252300.0,17
2026-05-18,AAPLCL.SN,AAPL,252300.0,3
2026-05-19,AAPLCL.SN,AAPL,252300.0,0
2026-05-20,AAPLCL.SN,AAPL,252300.0,0
2026-05-22,AAPLCL.SN,AAPL,252300.0,0
2026-05-25,AAPLCL.SN,AAPL,252300.0,0
2026-05-26,AAPLCL.SN,AAPL,252300.0,18
2026-05-27,AAPLCL.SN,AAPL,252300.0,5
2026-05-28,AAPLCL.SN,AAPL,252300.0,0
2026-05-29,AAPLCL.SN,AAPL,252300.0,1
2026-06-01,AAPLCL.SN,AAPL,252300.0,0
