published_at,available_at,broker,ticker,recommendation,target_price_min,target_price_max,currency,source_url,notes
2023-08-22,2023-08-22,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 205"
2023-08-25,2023-08-25,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 204"
2023-08-28,2023-08-28,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 204"
2023-08-29,2023-08-29,Credicorp Capital,ENELCHILE,Comprar,,,,,"Histórico validado, página 203"
2023-08-31,2023-08-31,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 203"
2023-09-04,2023-09-04,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 202"
2023-09-04,2023-09-04,Credicorp Capital,FORUS,Comprar,,,,,"Histórico validado, página 203"
2023-09-04,2023-09-04,Credicorp Capital,RIPLEY,Comprar,,,,,"Histórico validado, página 202"
2023-09-06,2023-09-06,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 202"
2023-09-06,2023-09-06,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 202"
2023-09-08,2023-09-08,Credicorp Capital,INDISA,Comprar,,,,,"Histórico validado, página 201"
2023-09-12,2023-09-12,Credicorp Capital,HITES,Comprar,,,,,"Histórico validado, página 240"
2023-09-13,2023-09-13,Credicorp Capital,COPEC,Mantener,,,,,"Histórico validado, página 240"
2023-09-22,2023-09-22,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 239"
2023-09-22,2023-09-22,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 239"
2023-09-26,2023-09-26,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 238"
2023-10-03,2023-10-03,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 237"
2023-10-10,2023-10-10,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 237"
2023-10-12,2023-10-12,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 236"
2023-10-13,2023-10-13,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 236"
2023-10-18,2023-10-18,Credicorp Capital,CENCOSUD,Mantener,,,,,"Histórico validado, página 235"
2023-10-20,2023-10-20,Credicorp Capital,CENCOSUD,Mantener,,,,,"Histórico validado, página 234"
2023-10-26,2023-10-26,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 234"
2023-11-02,2023-11-02,Credicorp Capital,BESALCO,Mantener,,,,,"Histórico validado, página 233"
2023-11-02,2023-11-02,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 233"
2023-11-02,2023-11-02,Credicorp Capital,ENELCHILE,Inferior al mercado,,,,,"Histórico validado, página 233"
2023-11-06,2023-11-06,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 233"
2023-11-06,2023-11-06,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 233"
2023-11-07,2023-11-07,Credicorp Capital,ENTEL,Mantener,,,,,"Histórico validado, página 232"
2023-11-09,2023-11-09,Credicorp Capital,CCU,Mantener,,,,,"Histórico validado, página 232"
2023-11-14,2023-11-14,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 231"
2023-11-14,2023-11-14,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 231"
2023-11-15,2023-11-15,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 231"
2023-11-16,2023-11-16,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 230"
2023-11-16,2023-11-16,Credicorp Capital,SALFACORP,Comprar,,,,,"Histórico validado, página 230"
2023-11-16,2023-11-16,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 230"
2023-11-17,2023-11-17,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 230"
2023-11-21,2023-11-21,Credicorp Capital,MALLPLAZA,Mantener,,,,,"Histórico validado, página 230"
2023-11-24,2023-11-24,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 229"
2023-11-28,2023-11-28,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 228"
2023-12-05,2023-12-05,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 227"
2023-12-07,2023-12-07,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 227"
2023-12-07,2023-12-07,Credicorp Capital,CCU,Mantener,,,,,"Histórico validado, página 226"
2023-12-07,2023-12-07,Credicorp Capital,CENCOSUD,Mantener,,,,,"Histórico validado, página 226"
2023-12-14,2023-12-14,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 226"
2023-12-14,2023-12-14,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 226"
2023-12-14,2023-12-14,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 226"
2023-12-15,2023-12-15,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 225"
2023-12-20,2023-12-20,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 224"
2023-12-21,2023-12-21,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 224"
2023-12-22,2023-12-22,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 223"
2023-12-28,2023-12-28,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 223"
