published_at,available_at,broker,ticker,recommendation,target_price_min,target_price_max,currency,source_url,notes,row_number,broker_normalized,signal,published_at_parsed,available_at_parsed
2024-02-14,2024-02-14,Credicorp Capital,PARAUCO,Comprar,,,,,"Histórico validado, página 254",690,Credicorp Capital,1,2024-02-14,2024-02-14
2024-02-26,2024-02-26,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 252",691,Credicorp Capital,1,2024-02-26,2024-02-26
2024-02-28,2024-02-28,Credicorp Capital,CCU,Mantener,,,,,"Histórico validado, página 251",692,Credicorp Capital,0,2024-02-28,2024-02-28
2024-02-28,2024-02-28,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 251",693,Credicorp Capital,0,2024-02-28,2024-02-28
2024-02-28,2024-02-28,Credicorp Capital,MALLPLAZA,Mantener,,,,,"Histórico validado, página 251",694,Credicorp Capital,0,2024-02-28,2024-02-28
2024-03-06,2024-03-06,Credicorp Capital,CENCOSUD,Mantener,,,,,"Histórico validado, página 250",695,Credicorp Capital,0,2024-03-06,2024-03-06
2024-03-07,2024-03-07,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 249",696,Credicorp Capital,1,2024-03-07,2024-03-07
2024-03-07,2024-03-07,Credicorp Capital,CENCOMALLS,Comprar,,,,,"Histórico validado, página 249",697,Credicorp Capital,1,2024-03-07,2024-03-07
2024-03-07,2024-03-07,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 249",698,Credicorp Capital,1,2024-03-07,2024-03-07
2024-03-07,2024-03-07,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 249",699,Credicorp Capital,0,2024-03-07,2024-03-07
2024-03-07,2024-03-07,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 249",700,Credicorp Capital,0,2024-03-07,2024-03-07
2024-03-07,2024-03-07,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 249",701,Credicorp Capital,1,2024-03-07,2024-03-07
2024-03-07,2024-03-07,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 249",702,Credicorp Capital,1,2024-03-07,2024-03-07
2024-03-07,2024-03-07,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 249",703,Credicorp Capital,1,2024-03-07,2024-03-07
2024-03-12,2024-03-12,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 249",704,Credicorp Capital,1,2024-03-12,2024-03-12
2024-03-18,2024-03-18,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 248",705,Credicorp Capital,0,2024-03-18,2024-03-18
2024-03-19,2024-03-19,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 247",706,Credicorp Capital,0,2024-03-19,2024-03-19
2024-03-20,2024-03-20,Credicorp Capital,SQM-ADR,Mantener,,,,,"Histórico validado, página 247",707,Credicorp Capital,0,2024-03-20,2024-03-20
2024-03-21,2024-03-21,Credicorp Capital,CAP,Mantener,,,,,"Histórico validado, página 247",708,Credicorp Capital,0,2024-03-21,2024-03-21
2024-03-21,2024-03-21,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 247",709,Credicorp Capital,0,2024-03-21,2024-03-21
2024-03-22,2024-03-22,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 246",710,Credicorp Capital,1,2024-03-22,2024-03-22
2024-03-26,2024-03-26,Credicorp Capital,MALLPLAZA,Mantener,,,,,"Histórico validado, página 246",711,Credicorp Capital,0,2024-03-26,2024-03-26
2024-03-26,2024-03-26,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 246",712,Credicorp Capital,1,2024-03-26,2024-03-26
2024-03-27,2024-03-27,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 245",713,Credicorp Capital,0,2024-03-27,2024-03-27
2024-03-27,2024-03-27,Credicorp Capital,SALFACORP,Comprar,,,,,"Histórico validado, página 246",714,Credicorp Capital,1,2024-03-27,2024-03-27
2024-04-02,2024-04-02,Credicorp Capital,CENCOMALLS,Comprar,,,,,"Histórico validado, página 245",715,Credicorp Capital,1,2024-04-02,2024-04-02
2024-04-02,2024-04-02,Credicorp Capital,ENTEL,Mantener,,,,,"Histórico validado, página 245",716,Credicorp Capital,0,2024-04-02,2024-04-02
2024-04-02,2024-04-02,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 245",717,Credicorp Capital,0,2024-04-02,2024-04-02
2024-04-05,2024-04-05,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 244",718,Credicorp Capital,1,2024-04-05,2024-04-05
2024-04-05,2024-04-05,Credicorp Capital,CENCOSUD,Mantener,,,,,"Histórico validado, página 244",719,Credicorp Capital,0,2024-04-05,2024-04-05
2024-04-05,2024-04-05,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 244",720,Credicorp Capital,0,2024-04-05,2024-04-05
2024-04-05,2024-04-05,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 244",721,Credicorp Capital,0,2024-04-05,2024-04-05
2024-04-05,2024-04-05,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 244",722,Credicorp Capital,1,2024-04-05,2024-04-05
2024-04-05,2024-04-05,Credicorp Capital,PARAUCO,Comprar,,,,,"Histórico validado, página 244",723,Credicorp Capital,1,2024-04-05,2024-04-05
2024-04-05,2024-04-05,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 244",724,Credicorp Capital,1,2024-04-05,2024-04-05
2024-04-08,2024-04-08,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 243",725,Credicorp Capital,0,2024-04-08,2024-04-08
2024-04-11,2024-04-11,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 242",726,Credicorp Capital,1,2024-04-11,2024-04-11
2024-04-16,2024-04-16,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 242",727,Credicorp Capital,0,2024-04-16,2024-04-16
2024-04-16,2024-04-16,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 242",728,Credicorp Capital,1,2024-04-16,2024-04-16
2024-04-18,2024-04-18,Credicorp Capital,ECL,Mantener,,,,,"Histórico validado, página 241",729,Credicorp Capital,0,2024-04-18,2024-04-18
2024-04-19,2024-04-19,Credicorp Capital,CAP,Mantener,,,,,"Histórico validado, página 241",730,Credicorp Capital,0,2024-04-19,2024-04-19
2024-04-19,2024-04-19,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 241",731,Credicorp Capital,1,2024-04-19,2024-04-19
2024-04-23,2024-04-23,Credicorp Capital,BSANTANDER,Mantener,,,,,"Histórico validado, página 280",732,Credicorp Capital,0,2024-04-23,2024-04-23
2024-04-23,2024-04-23,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 280",733,Credicorp Capital,0,2024-04-23,2024-04-23
2024-04-23,2024-04-23,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 280",734,Credicorp Capital,1,2024-04-23,2024-04-23
2024-04-23,2024-04-23,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 280",735,Credicorp Capital,1,2024-04-23,2024-04-23
2024-04-26,2024-04-26,Credicorp Capital,CENCOMALLS,Comprar,,,,,"Histórico validado, página 280",736,Credicorp Capital,1,2024-04-26,2024-04-26
2024-04-26,2024-04-26,Credicorp Capital,CENCOSUD,Mantener,,,,,"Histórico validado, página 280",737,Credicorp Capital,0,2024-04-26,2024-04-26
2024-04-26,2024-04-26,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 280",738,Credicorp Capital,0,2024-04-26,2024-04-26
2024-04-26,2024-04-26,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 280",739,Credicorp Capital,1,2024-04-26,2024-04-26
2024-04-30,2024-04-30,Credicorp Capital,COLBUN,Comprar,,,,,"Histórico validado, página 279",740,Credicorp Capital,1,2024-04-30,2024-04-30
2024-04-30,2024-04-30,Credicorp Capital,ECL,Mantener,,,,,"Histórico validado, página 279",741,Credicorp Capital,0,2024-04-30,2024-04-30
2024-04-30,2024-04-30,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 279",742,Credicorp Capital,0,2024-04-30,2024-04-30
2024-05-02,2024-05-02,Credicorp Capital,ANDINA-B,Mantener,,,,,"Histórico validado, página 279",743,Credicorp Capital,0,2024-05-02,2024-05-02
2024-05-02,2024-05-02,Credicorp Capital,BSANTANDER,Mantener,,,,,"Histórico validado, página 279",744,Credicorp Capital,0,2024-05-02,2024-05-02
2024-05-02,2024-05-02,Credicorp Capital,CENCOMALLS,Comprar,,,,,"Histórico validado, página 279",745,Credicorp Capital,1,2024-05-02,2024-05-02
2024-05-03,2024-05-03,Credicorp Capital,CENCOSUD,Mantener,,,,,"Histórico validado, página 279",746,Credicorp Capital,0,2024-05-03,2024-05-03
2024-05-03,2024-05-03,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 279",747,Credicorp Capital,1,2024-05-03,2024-05-03
2024-05-03,2024-05-03,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 279",748,Credicorp Capital,1,2024-05-03,2024-05-03
2024-05-06,2024-05-06,Credicorp Capital,CENCOMALLS,Comprar,,,,,"Histórico validado, página 278",749,Credicorp Capital,1,2024-05-06,2024-05-06
2024-05-06,2024-05-06,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 279",750,Credicorp Capital,0,2024-05-06,2024-05-06
2024-05-07,2024-05-07,Credicorp Capital,ENTEL,Mantener,,,,,"Histórico validado, página 278",751,Credicorp Capital,0,2024-05-07,2024-05-07
2024-05-08,2024-05-08,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 278",752,Credicorp Capital,0,2024-05-08,2024-05-08
2024-05-09,2024-05-09,Credicorp Capital,PARAUCO,Comprar,,,,,"Histórico validado, página 279",753,Credicorp Capital,1,2024-05-09,2024-05-09
2024-05-13,2024-05-13,Credicorp Capital,CAP,Mantener,,,,,"Histórico validado, página 277",754,Credicorp Capital,0,2024-05-13,2024-05-13
2024-05-16,2024-05-16,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 276",755,Credicorp Capital,0,2024-05-16,2024-05-16
2024-05-16,2024-05-16,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 275",756,Credicorp Capital,1,2024-05-16,2024-05-16
2024-05-20,2024-05-20,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 275",757,Credicorp Capital,1,2024-05-20,2024-05-20
2024-05-20,2024-05-20,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 275",758,Credicorp Capital,1,2024-05-20,2024-05-20
2024-05-20,2024-05-20,Credicorp Capital,VAPORES,Mantener,,,,,"Histórico validado, página 275",759,Credicorp Capital,0,2024-05-20,2024-05-20
