date,Sigma-6,Delta-12,IPSA Total Return,Gamma-6,Conjunto AlphaData,Oro
2023-01-18,120.14943350114542,133.18893000646935,124.86509588936433,106.08306366148008,119.99917955540346,114.3511202731754
2023-01-19,120.37532437658092,133.96994747107442,124.34649106051346,107.21873357093975,121.36697547456359,117.45003540425826
2023-01-20,121.2645816973652,133.41326577347314,125.01838516198043,108.64386415817447,121.74065725328288,116.9663572490724
2023-01-23,122.98013306483053,134.408158180666,126.82992053789732,107.67226899523607,121.86554373263753,115.98750171211744
2023-01-24,122.48419416270788,132.72522991708016,125.51168054706604,107.23646837930855,121.27632268293716,116.11069390772819
2023-01-25,122.71981518424644,133.17652802679538,125.55847914119803,106.20991773638437,120.85827633099858,115.01226075874634
2023-01-26,124.6190735279406,134.65304785001774,127.35162935513446,107.64706649811016,121.85806481283254,114.20701308662197
2023-01-27,124.95838856299252,134.83562260385332,127.77305547066015,105.76499597174644,121.37995979935977,113.91592996284243
2023-01-30,124.52815419751822,134.4926192560458,127.45334466687042,102.8544464967288,119.85350313660646,111.92846073722103
2023-01-31,124.2027828961971,134.8812593843125,127.08182113386307,106.24016286318431,121.5608380261355,114.78306016531978
2023-02-01,124.02544479125524,134.1816290633336,126.74229255806846,104.40906206152215,120.80204319086744,114.65472216181247
2023-02-02,123.98516643354182,133.5668262260472,126.87003361858191,102.06153864372718,118.96021941277368,110.7949071753655
2023-02-03,124.16659810528952,132.95708981079113,126.88841878056236,99.61863312230014,117.20998901757083,107.17488328900863
2023-02-06,123.73000419617026,132.1895963791726,126.20386995721272,99.34349648866736,116.8576263517807,107.1978928401462
2023-02-07,123.77798501021636,133.27777589325433,125.8612373930318,104.83752974182293,119.65926843952022,110.8734344121169
2023-02-08,124.54832955949531,134.17514539967758,127.23558794315404,103.01367589388721,119.28212894761204,109.94392409470001
2023-02-09,124.41029028026044,135.73336948350249,127.906288202934,103.80926817059176,119.78697985826577,109.79269832690863
2023-02-10,125.0280463216945,136.8622843468326,128.7546321057457,103.87975662624511,120.2420651654028,109.9037840220314
2023-02-13,125.29986979795277,135.11309921407076,128.1273876833741,103.98820625712031,119.5436928422953,108.38621605864606
2023-02-14,124.77069841748931,134.4248804324857,127.32154454462103,104.97053682419201,119.54422863984935,108.40162669575655
2023-02-15,125.33145302992446,136.36671781283437,129.03757258557457,103.9463516488808,119.33882491815389,106.56164617302464
2023-02-16,126.1949525879799,136.23817636520295,130.16336529645477,103.28463373107428,119.503974312963,107.2117161877922
2023-02-17,125.46303630436776,133.99778424952692,127.23869193154032,102.14556176455248,118.54926115178468,107.41942013321507
2023-02-20,125.0830055630016,134.19841306122893,127.28167023227384,102.14556176455248,118.50147824151354,107.41942013321507
2023-02-21,124.11651433049072,132.14470925935657,125.62485673899756,101.76564931688671,117.80232134451093,107.83006316997667
2023-02-22,124.11006992667711,132.56820503657534,125.55537515281176,101.75345026415926,117.92128102369252,107.93811443544234
2023-02-23,125.11266998321626,132.80270738803003,126.85260352995112,103.60066361765115,118.66078224227061,107.60932071352141
2023-02-24,125.3476849535065,133.01666037816995,127.30101046760392,102.74106541547094,118.42980795655816,107.26639246503605
2023-02-27,124.93304298861732,132.06827512355872,127.91058603300736,102.3817567684953,117.9146114591985,106.89897376656319
2023-02-28,127.01806004001604,134.21634829176656,128.81313034841077,106.3887026539696,121.4375473788977,112.12098301011065
2023-03-01,127.7243462423412,135.84555313480195,128.34681578545232,106.15884998836607,121.87558961283494,111.99651684186408
2023-03-02,129.6851784084986,138.3495742459933,129.10777047677263,105.00758014246193,121.97256062136171,109.74528742599674
2023-03-03,131.49578552660884,139.1033049752481,129.8770820599022,106.76118968038968,123.45041447657054,111.12718890226506
2023-03-06,132.3962919575294,139.49420450045167,129.59199266503668,105.64655747753928,122.9323462022045,109.2671477577612
2023-03-07,132.42079894828368,140.93192957279197,129.01703850855745,103.24054548731411,121.90512634084335,106.78647421788683
2023-03-08,132.49453110989143,143.21319118294136,129.32624350550122,103.79730367028473,122.75735786454226,107.37632082091909
2023-03-09,133.9423402448033,144.37873875351832,129.1877578698044,101.69014329808691,123.00226869313973,108.24982736271446
2023-03-10,132.2663062350324,144.67508030844908,128.78495568459658,99.56394309945728,122.45871676254413,109.71509078567627
2023-03-13,131.10953088862175,143.56602548799046,127.43161674816623,96.80310457021272,121.22005248388409,109.99772566452629
2023-03-14,131.4175727525465,143.68901181830876,126.51808908924204,101.45950904963601,123.36573093184518,112.64003493358476
2023-03-15,130.01477683490413,140.5719336713088,124.07859298594131,99.42682292066777,121.92771941589407,113.31368909349432
2023-03-16,129.13350377514553,139.9084587908014,124.12013867665036,103.24879330881738,123.42192962408723,116.13625753207607
2023-03-17,125.6084247000947,137.19362694541584,122.0590903881418,102.96960556819148,122.98727092250832,120.20478893826755
2023-03-20,126.6097336887489,137.87333823696756,123.44537935513448,101.80002821249359,122.14843512743342,116.88777291313893
2023-03-21,129.76662394503208,141.655219725187,126.527401054401,106.87932130336178,125.5360374671013,118.09971107558529
2023-03-22,129.6016264556553,141.94478368509797,125.85908847799512,104.72435614509155,125.35475627115224,119.60504453020762
2023-03-23,129.77727171315072,142.52492649059954,125.9591324113692,103.51114027663674,125.11848117840869,119.37135405195976
2023-03-24,129.24891850349658,142.6476728583815,125.32615754889976,102.97310389272258,124.35514373621425,117.48312726358643
2023-03-27,130.03420543558454,142.28970142236463,125.54630195599022,103.83293760285243,124.62128107833846,117.16569785928756
2023-03-28,129.88832134800649,140.60946685850516,125.22802376222496,103.13906535225658,124.02666309727681,117.23335863236935
2023-03-29,130.46957229169703,141.55018694944363,126.8757640586797,103.89187035158508,124.12828817926393,115.51637207395474
2023-03-30,132.2475529276565,142.32086500092353,126.7668856968215,103.9600042240275,124.7726917876451,115.611170937893
2023-03-31,133.98286906972334,144.70899994309792,127.13506647310513,105.09306006269956,125.77420056466173,114.5889805762743
2023-04-03,133.67184341360283,143.32910141567856,126.76211033007336,107.49600031585634,126.5796153236869,116.26275975056723
2023-04-04,131.4901294764971,141.69246725742863,124.82808679706604,108.42234443289667,127.23024915084885,120.78569793181161
2023-04-05,132.2428847095884,142.40381078980155,125.02435437041568,108.54846558450899,127.45065895703515,120.24433729717221
2023-04-06,133.22176144412452,143.61936536984965,125.93119651589242,108.67173886591489,127.91694014957858,120.00945090054505
2023-04-10,133.43766150977416,142.94270416711575,126.10501986552566,110.12080188907255,128.28697321215455,120.12912804150506
2023-04-11,133.97776888106625,141.89372791200353,126.7114914425428,110.75996851378473,128.59618995354595,120.92779216575272
2023-04-12,134.9861587310087,141.55381465553765,127.8148399297066,108.8362874676298,127.95401136936637,120.09175226247177
2023-04-13,136.13020124976148,143.64402270303086,128.1020782396088,109.63583097625228,129.05008273204447,120.58075947504818
2023-04-14,136.68115703925744,143.8978887172813,129.34510620415648,109.03887626017143,128.1481348459941,117.27247487308352
2023-04-17,136.39681166184357,144.80098519521735,130.60484795232273,109.10862751765099,128.29064845395186,117.24384251402797
2023-04-18,137.17321766757854,144.0267094343168,130.71659153422982,110.75076115494498,129.0514790517319,118.17510146904418
2023-04-19,137.09785366267008,145.0519431952348,129.49576902506112,109.42386622810658,128.46150552718092,116.72448009665372
2023-04-20,137.0145722789202,146.04491701388872,128.8773590311736,108.2779548511437,128.45766806936945,117.2448803393626
2023-04-21,134.98783565230582,143.93009231245097,124.80253858496332,107.78119679360277,126.96692355303843,115.76184874190292
2023-04-24,137.1206134093859,145.9645857935116,126.47033542176038,109.29023216496576,128.86346271068618,117.59288330691926
