alphadata_ticker,yahoo_ticker,date,close,volume
CENCOSUD,CENCOSUD.SN,2023-02-24,1495.0,3793611.0
FALABELLA,FALABELLA.SN,2023-02-24,1860.0,4444505.0
SQM-B,SQM-B.SN,2023-02-24,70999.0,707826.0
BSANTANDER,BSANTANDER.SN,2023-03-03,34.810001373291016,170003694.0
CENCOSUD,CENCOSUD.SN,2023-03-03,1550.0,7438474.0
FALABELLA,FALABELLA.SN,2023-03-03,1880.0,3046671.0
SQM-B,SQM-B.SN,2023-03-03,72300.0,537875.0
BSANTANDER,BSANTANDER.SN,2023-03-10,36.09000015258789,138910878.0
CENCOSUD,CENCOSUD.SN,2023-03-10,1550.0,3043189.0
FALABELLA,FALABELLA.SN,2023-03-10,1849.0,1710300.0
SQM-B,SQM-B.SN,2023-03-10,63085.0,211876.0
BSANTANDER,BSANTANDER.SN,2023-03-17,34.189998626708984,529635115.0
CENCOSUD,CENCOSUD.SN,2023-03-17,1528.0,13274114.0
FALABELLA,FALABELLA.SN,2023-03-17,1747.300048828125,6982881.0
SQM-B,SQM-B.SN,2023-03-17,61600.0,857435.0
BSANTANDER,BSANTANDER.SN,2023-03-24,34.0099983215332,86737043.0
CENCOSUD,CENCOSUD.SN,2023-03-24,1510.0,9597393.0
FALABELLA,FALABELLA.SN,2023-03-24,1823.800048828125,3242898.0
SQM-B,SQM-B.SN,2023-03-24,65350.0,567474.0
BSANTANDER,BSANTANDER.SN,2023-03-31,35.25,118111473.0
CENCOSUD,CENCOSUD.SN,2023-03-31,1536.0,4509834.0
FALABELLA,FALABELLA.SN,2023-03-31,1828.0,2751985.0
SQM-B,SQM-B.SN,2023-03-31,63800.0,221965.0
BSANTANDER,BSANTANDER.SN,2023-04-07,36.099998474121094,122011427.0
CENCOSUD,CENCOSUD.SN,2023-04-07,1544.0,2519601.0
FALABELLA,FALABELLA.SN,2023-04-07,1800.0,4782491.0
SQM-B,SQM-B.SN,2023-04-07,60748.0,352620.0
BSANTANDER,BSANTANDER.SN,2023-04-14,37.459999084472656,81116038.0
CENCOSUD,CENCOSUD.SN,2023-04-14,1605.0999755859375,6386805.0
FALABELLA,FALABELLA.SN,2023-04-14,1795.0,2121270.0
SQM-B,SQM-B.SN,2023-04-14,63023.0,162811.0
BSANTANDER,BSANTANDER.SN,2023-04-21,35.5,57837772.0
CENCOSUD,CENCOSUD.SN,2023-04-21,1570.0,2206527.0
FALABELLA,FALABELLA.SN,2023-04-21,1735.0,1264335.0
SQM-B,SQM-B.SN,2023-04-21,52979.0,351624.0
BSANTANDER,BSANTANDER.SN,2023-04-28,38.599998474121094,82960647.0
CENCOSUD,CENCOSUD.SN,2023-04-28,1645.0,2704732.0
FALABELLA,FALABELLA.SN,2023-04-28,1731.0,1460868.0
SQM-B,SQM-B.SN,2023-04-28,54650.0,241304.0
BSANTANDER,BSANTANDER.SN,2023-05-05,38.900001525878906,107695616.0
CENCOSUD,CENCOSUD.SN,2023-05-05,1588.800048828125,1208329.0
FALABELLA,FALABELLA.SN,2023-05-05,1780.0,1260644.0
SQM-B,SQM-B.SN,2023-05-05,53879.0,190549.0
BSANTANDER,BSANTANDER.SN,2023-05-12,38.779998779296875,68734538.0
CENCOSUD,CENCOSUD.SN,2023-05-12,1530.0,4250437.0
FALABELLA,FALABELLA.SN,2023-05-12,1810.0,1629504.0
SQM-B,SQM-B.SN,2023-05-12,58600.0,268743.0
BSANTANDER,BSANTANDER.SN,2023-05-19,37.70000076293945,48875269.0
CENCOSUD,CENCOSUD.SN,2023-05-19,1554.199951171875,2435493.0
FALABELLA,FALABELLA.SN,2023-05-19,1945.0,1072581.0
SQM-B,SQM-B.SN,2023-05-19,57000.0,224846.0
BSANTANDER,BSANTANDER.SN,2023-05-26,36.470001220703125,68814837.0
CENCOSUD,CENCOSUD.SN,2023-05-26,1538.0,3301551.0
FALABELLA,FALABELLA.SN,2023-05-26,1846.9000244140625,1561132.0
SQM-B,SQM-B.SN,2023-05-26,53061.0,209358.0
BSANTANDER,BSANTANDER.SN,2023-06-02,36.66999816894531,234639392.0
CENCOSUD,CENCOSUD.SN,2023-06-02,1545.0,17713993.0
FALABELLA,FALABELLA.SN,2023-06-02,1797.800048828125,6642217.0
SQM-B,SQM-B.SN,2023-06-02,54650.0,745594.0
BSANTANDER,BSANTANDER.SN,2023-06-09,37.279998779296875,93337597.0
CENCOSUD,CENCOSUD.SN,2023-06-09,1570.0,3753792.0
FALABELLA,FALABELLA.SN,2023-06-09,1850.0,1681726.0
SQM-B,SQM-B.SN,2023-06-09,55800.0,334077.0
BSANTANDER,BSANTANDER.SN,2023-06-16,38.29999923706055,195351280.0
CENCOSUD,CENCOSUD.SN,2023-06-16,1558.0,5408357.0
FALABELLA,FALABELLA.SN,2023-06-16,1886.0,4082462.0
SQM-B,SQM-B.SN,2023-06-16,57305.0,732788.0
BSANTANDER,BSANTANDER.SN,2023-06-23,36.91999816894531,72534764.0
CENCOSUD,CENCOSUD.SN,2023-06-23,1545.0,1189575.0
FALABELLA,FALABELLA.SN,2023-06-23,1856.0999755859375,1148143.0
SQM-B,SQM-B.SN,2023-06-23,56115.0,115045.0
BSANTANDER,BSANTANDER.SN,2023-06-30,37.939998626708984,79960641.0
CENCOSUD,CENCOSUD.SN,2023-06-30,1553.9000244140625,2143522.0
FALABELLA,FALABELLA.SN,2023-06-30,1925.0,1844861.0
SQM-B,SQM-B.SN,2023-06-30,58399.0,215437.0
BSANTANDER,BSANTANDER.SN,2023-07-07,37.9900016784668,68799244.0
CENCOSUD,CENCOSUD.SN,2023-07-07,1630.0,2142799.0
FALABELLA,FALABELLA.SN,2023-07-07,1985.5,1924372.0
SQM-B,SQM-B.SN,2023-07-07,63621.0,163308.0
BSANTANDER,BSANTANDER.SN,2023-07-14,40.099998474121094,98983741.0
CENCOSUD,CENCOSUD.SN,2023-07-14,1671.0,2136476.0
FALABELLA,FALABELLA.SN,2023-07-14,2085.0,2117072.0
SQM-B,SQM-B.SN,2023-07-14,64677.0,219405.0
BSANTANDER,BSANTANDER.SN,2023-07-21,42.90999984741211,103861149.0
CENCOSUD,CENCOSUD.SN,2023-07-21,1805.0,3510338.0
FALABELLA,FALABELLA.SN,2023-07-21,2234.0,1946032.0
SQM-B,SQM-B.SN,2023-07-21,61315.0,293181.0
BSANTANDER,BSANTANDER.SN,2023-07-28,43.75,120641818.0
CENCOSUD,CENCOSUD.SN,2023-07-28,1821.0,1470232.0
FALABELLA,FALABELLA.SN,2023-07-28,2259.800048828125,898444.0
SQM-B,SQM-B.SN,2023-07-28,61990.0,200046.0
